Topic ID,Name,Size,Percentage,Top Words and Phrases,Example Documents,Explanation,Most Similar Topic
41,41_seattletacoma_seattletacoma airport_airport_seattletacoma airport washington,40,0.03%,"seattletacoma, seattletacoma airport, airport, seattletacoma airport washington, airport washington, seattle, seattletacoma international, seattletacoma international airport, wa, airport washington local",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft ground stop u ...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj u president biden he...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo ft allclear issued...,"This topic appears to be about 41_seattletacoma_seattletacoma airport_airport_seattletacoma airport washington. The documents in this topic are grouped together because they frequently contain words and phrases like seattletacoma, seattletacoma airport, airport, seattletacoma airport washington, airport washington. These terms suggest a common theme or subject matter across the documents.",Topic 41: 41_seattletacoma_seattletacoma airport_airport_seattletacoma airport washington
42,42_airspace_russian flight_russian_russian flight airspace,40,0.03%,"airspace, russian flight, russian, russian flight airspace, flight airspace, ban russian, flight, russian airline, ban, ban russian flight",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft ban russian ai...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft u president biden...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo ft faa say change...,"This topic appears to be about 42_airspace_russian flight_russian_russian flight airspace. The documents in this topic are grouped together because they frequently contain words and phrases like airspace, russian flight, russian, russian flight airspace, flight airspace. These terms suggest a common theme or subject matter across the documents.",Topic 42: 42_airspace_russian flight_russian_russian flight airspace
43,43_burkina_faso_burkina faso_burkina faso local,38,0.03%,"burkina, faso, burkina faso, burkina faso local, faso local, kaya burkina, kaya, kaya burkina faso, ouagadougou, faso local source",message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo ft u national reportedly ki...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj least killed dozen inj...; message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafafbeguillermo r burkina faso army lieutenant ...,"This topic appears to be about 43_burkina_faso_burkina faso_burkina faso local. The documents in this topic are grouped together because they frequently contain words and phrases like burkina, faso, burkina faso, burkina faso local, faso local. These terms suggest a common theme or subject matter across the documents.",Topic 43: 43_burkina_faso_burkina faso_burkina faso local
44,44_price war_proalqaeda_september attack_individual proalqaeda,38,0.03%,"price war, proalqaeda, september attack, individual proalqaeda, share graphic, proalqaeda forum, individual proalqaeda forum, via rocketchat, rocketchat, proalqaeda forum share",message sent subject first alert urgent update alertdataminrcom guillermoriveradcgov odc governmentoufirst administrative groupcnrecipientscnguillermorivera proalqaeda outlet say shortly release docum...; message sent subject first alert urgent update alertdataminrcom guillermoriveradcgov odc governmentoufirst administrative groupcnrecipientscnguillermorivera individual proalqaeda forum share graphic t...; message sent subject first alert urgent alertdataminrcomj guillermoriveradcgov odc governmentoufirst administrative groupcnrecipientscnguillermorivera proalqaeda outlet share graphic alfirdaws medium ...,"This topic appears to be about 44_price war_proalqaeda_september attack_individual proalqaeda. The documents in this topic are grouped together because they frequently contain words and phrases like price war, proalqaeda, september attack, individual proalqaeda, share graphic. These terms suggest a common theme or subject matter across the documents.",Topic 44: 44_price war_proalqaeda_september attack_individual proalqaeda
45,45_power_without power_outage_power outage,37,0.03%,"power, without power, outage, power outage, customer, michigan, customer without, customer without power, lansing, tx",message sent subject first alert flash alertdataminrcom carolynmontagnadcgov vodc governmentouexchange administrative group fydibohfspdltcnrecipientscncarolynmontagnaj major explosion callide power pl...; message sent subject first alert flash alertdataminrcom pm carolynmontagnadcgov vodc governmentouexternal fydibohfspdltcnrecipientscncdedefddeb people without power texas resident encouraged seek warm...; message sent subject first alert urgent update alertdataminrcom dc govern ntouexternal fydibohfspdltcnrecipientscncfebbdbbfb power outage impact customer across u including texas amid severe winter we...,"This topic appears to be about 45_power_without power_outage_power outage. The documents in this topic are grouped together because they frequently contain words and phrases like power, without power, outage, power outage, customer. These terms suggest a common theme or subject matter across the documents.",Topic 45: 45_power_without power_outage_power outage
46,46_native american_native_american_pacific islander,37,0.03%,"native american, native, american, pacific islander, islander, tribal, asian american, american native, american native hawaiian, native hawaiian",message sent subject first alert urgent alertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u president biden welcome...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u chamber commerce pre...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj individual say s...,"This topic appears to be about 46_native american_native_american_pacific islander. The documents in this topic are grouped together because they frequently contain words and phrases like native american, native, american, pacific islander, islander. These terms suggest a common theme or subject matter across the documents.",Topic 46: 46_native american_native_american_pacific islander
47,47_ireland_northern ireland_belfast_northern,37,0.03%,"ireland, northern ireland, belfast, northern, derry, belfast northern ireland, belfast northern, terrorism act, derry northern ireland, derry northern",message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft convoy protest block area a...; message sent subject first alert flash alertdataminrcom montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn mon convoy protest block area aroun...; message sent subject first alert urgent alertdataminrcom pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn mon man charged various offense...,"This topic appears to be about 47_ireland_northern ireland_belfast_northern. The documents in this topic are grouped together because they frequently contain words and phrases like ireland, northern ireland, belfast, northern, derry. These terms suggest a common theme or subject matter across the documents.",Topic 47: 47_ireland_northern ireland_belfast_northern
48,48_beatty_hart senate office_hart senate_senate office building,36,0.03%,"beatty, hart senate office, hart senate, senate office building, hart, senate office, representative beatty, office building, office, office building washington",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj u representative bea...; message sent subject first alert urgent alertdataminrcom pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn mon highlevel executive private...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo rj u representative hal ...,"This topic appears to be about 48_beatty_hart senate office_hart senate_senate office building. The documents in this topic are grouped together because they frequently contain words and phrases like beatty, hart senate office, hart senate, senate office building, hart. These terms suggest a common theme or subject matter across the documents.",Topic 48: 48_beatty_hart senate office_hart senate_senate office building
49,49_london_uk_london uk_waterloo,36,0.03%,"london, uk, london uk, waterloo, bridge, london bridge, westminster, london uk local, bridge london, uk local source",message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj update bridge road reopened...; message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft police close waterloo bridg...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj police cordon area due p...,"This topic appears to be about 49_london_uk_london uk_waterloo. The documents in this topic are grouped together because they frequently contain words and phrases like london, uk, london uk, waterloo, bridge. These terms suggest a common theme or subject matter across the documents.",Topic 49: 49_london_uk_london uk_waterloo
50,50_democratic national committee_democratic national_national committee_macron,36,0.03%,"democratic national committee, democratic national, national committee, macron, bayonet machete, bayonet, democratic, machete, near democratic national, near democratic",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj u president bi...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u president biden spea...; message sent subject first alert urgent alertdataminrcom pm ennis ralph mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbaedefaaadfccdralph ennis u president biden speaks f...,"This topic appears to be about 50_democratic national committee_democratic national_national committee_macron. The documents in this topic are grouped together because they frequently contain words and phrases like democratic national committee, democratic national, national committee, macron, bayonet machete. These terms suggest a common theme or subject matter across the documents.",Topic 50: 50_democratic national committee_democratic national_national committee_macron
51,51_guantanamo_committee_guantanamo bay_house,35,0.03%,"guantanamo, committee, guantanamo bay, house, ndaa, meadow, contempt, armed service, bay, house january select",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u end sentence former ...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafafbeguillermo r u dod announces co...; message sent subject first alert urgent alertdataminrcomj pm tscoactedibaciebj fydibohfspdltcnrecipientscnfe u end sentence former alqaeda courier turned informant majid khan remain guantanamo bay dip...,"This topic appears to be about 51_guantanamo_committee_guantanamo bay_house. The documents in this topic are grouped together because they frequently contain words and phrases like guantanamo, committee, guantanamo bay, house, ndaa. These terms suggest a common theme or subject matter across the documents.",Topic 51: 51_guantanamo_committee_guantanamo bay_house
52,52_chapo_el chapo_emma_coronel,35,0.03%,"chapo, el chapo, emma, coronel, emma coronel, wife, aispuro, wife el, wife el chapo, emma coronel aispuro",message sent subject first alert urgent alertdataminrcom pm ennis ralph mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnbaedefaaadfccdralph ennis emma coronel wife mexican ...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo rj emma coronel wife me...; message sent subject first alert urgent alertdataminrcomj pm ffeakki oexchangelabsouexchange administrative group fvfspdltcnrecipientscnfe emma coronel wife mexican drug trafficker joaquin el chapo gu...,"This topic appears to be about 52_chapo_el chapo_emma_coronel. The documents in this topic are grouped together because they frequently contain words and phrases like chapo, el chapo, emma, coronel, emma coronel. These terms suggest a common theme or subject matter across the documents.",Topic 52: 52_chapo_el chapo_emma_coronel
53,53_amazon_amazon web_web service_amazon web service,34,0.03%,"amazon, amazon web, web service, amazon web service, web, outage, service, seattle wa, seattle, issue",message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft amazon alexa expe...; message sent subject first alert urgent update alertdataminrcom l amazon alexa experiencing widespread service outage local source via twitter porrt voexchangelabsouexchange administrative group fiktb...; message sent first alert urgent update alertdataminrcom governmentoufirst administrative redacted subject amazon platform experiencing outage multiple country local source photo via twitter caution em...,"This topic appears to be about 53_amazon_amazon web_web service_amazon web service. The documents in this topic are grouped together because they frequently contain words and phrases like amazon, amazon web, web service, amazon web service, web. These terms suggest a common theme or subject matter across the documents.",Topic 53: 53_amazon_amazon web_web service_amazon web service
54,54_tarrio_enrique tarrio_enrique_proud boy,34,0.03%,"tarrio, enrique tarrio, enrique, proud boy, boy, proud, leader enrique tarrio, leader enrique, boy leader enrique, proud boy leader",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo rj proud boy leader enriq...; message sent first alert urgent alertdataminrcomj pm voexchangelabsouexchange administrative group subject proud boy leader enrique tarrio released jail washington dc carless reporter via twitter prou...; message sent first alert urgent alertdataminrcomj pm oexchangelabsouexchange administrative group subject proud boy leader enrique tarrio released jail washington dc carless reporter via twitter cauti...,"This topic appears to be about 54_tarrio_enrique tarrio_enrique_proud boy. The documents in this topic are grouped together because they frequently contain words and phrases like tarrio, enrique tarrio, enrique, proud boy, boy. These terms suggest a common theme or subject matter across the documents.",Topic 54: 54_tarrio_enrique tarrio_enrique_proud boy
55,55_japan_fukushima_earthquake_miyagi,34,0.03%,"japan, fukushima, earthquake, miyagi, tsunami, fukushima japan, tokyo, prefecture, japanese, miyagi japan",message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ri update tepco say househo...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft update tepco confirms ...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft tsunami warning issued...,"This topic appears to be about 55_japan_fukushima_earthquake_miyagi. The documents in this topic are grouped together because they frequently contain words and phrases like japan, fukushima, earthquake, miyagi, tsunami. These terms suggest a common theme or subject matter across the documents.",Topic 55: 55_japan_fukushima_earthquake_miyagi
56,56_boise_boise id_id_boise towne,34,0.03%,"boise, boise id, id, boise towne, square mall, mall boise, mall boise id, towne square, towne square mall, boise towne square",message sent first alert urgent update alertdataminrcom odc govern ntoufirst administrative redacted subject least one shot gunshot reported boise state university id witness video via snap caution em...; message sent first alert urgent update alertdataminrcom odc govern ntoufirst administrative redacted subject shelterinplace order lifted shooting suspect arrested boise state university id witness pho...; message sent subject first alert flash alertdataminrcom pm guillermoriveradcgov odc governmentoufirst administrative groupcnrecipientscnguillermorivera least two shot one custody boise towne square ma...,"This topic appears to be about 56_boise_boise id_id_boise towne. The documents in this topic are grouped together because they frequently contain words and phrases like boise, boise id, id, boise towne, square mall. These terms suggest a common theme or subject matter across the documents.",Topic 56: 56_boise_boise id_id_boise towne
57,57_nfl_player_nflpa_protocol,34,0.03%,"nfl, player, nflpa, protocol, game, nfl nflpa, covid, tom pelissero, pelissero, coronavirus",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo rj potential convoy pro...; message sent subject first alert urgent alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafafbeguillermo r individual say shut super...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj nfl nflpa suspend covi...,"This topic appears to be about 57_nfl_player_nflpa_protocol. The documents in this topic are grouped together because they frequently contain words and phrases like nfl, player, nflpa, protocol, game. These terms suggest a common theme or subject matter across the documents.",Topic 57: 57_nfl_player_nflpa_protocol
58,58_sweden_kongsberg_malmo_kongsberg norway,33,0.02%,"sweden, kongsberg, malmo, kongsberg norway, norway, sweden local, latin school, malmo sweden, latin, bow",message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ri three people shot one ...; message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo ft multiple people stabbed fjo...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo rj school principal say d...,"This topic appears to be about 58_sweden_kongsberg_malmo_kongsberg norway. The documents in this topic are grouped together because they frequently contain words and phrases like sweden, kongsberg, malmo, kongsberg norway, norway. These terms suggest a common theme or subject matter across the documents.",Topic 58: 58_sweden_kongsberg_malmo_kongsberg norway
59,59_snyder_washington commander_sport_team,33,0.02%,"snyder, washington commander, sport, team, owner, commander, front office sport, office sport, front office, owner dan snyder",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj washington national ...; message sent subject first alert urgent alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydi bohfspdltcnrecip ientscnfcacafa fbeguillermo r u congress expand inve...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u house oversight refo...,"This topic appears to be about 59_snyder_washington commander_sport_team. The documents in this topic are grouped together because they frequently contain words and phrases like snyder, washington commander, sport, team, owner. These terms suggest a common theme or subject matter across the documents.",Topic 59: 59_snyder_washington commander_sport_team
60,60_apple_icloud_outage_cupertino,33,0.02%,"apple, icloud, outage, cupertino, cupertino ca, apple service, experiencing, apple support, nso, apple park",message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj almost apple service exp...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo rj several apple servic...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo ft apple say outag...,"This topic appears to be about 60_apple_icloud_outage_cupertino. The documents in this topic are grouped together because they frequently contain words and phrases like apple, icloud, outage, cupertino, cupertino ca. These terms suggest a common theme or subject matter across the documents.",Topic 60: 60_apple_icloud_outage_cupertino
61,61_chase md_chevy chase md_chevy chase_chevy,33,0.02%,"chase md, chevy chase md, chevy chase, chevy, chase, court justice kavanaughs, justice kavanaughs, kavanaughs, justice kavanaughs house, kavanaughs house",message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft protester block str...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft protester front u supr...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft protest block stree...,"This topic appears to be about 61_chase md_chevy chase md_chevy chase_chevy. The documents in this topic are grouped together because they frequently contain words and phrases like chase md, chevy chase md, chevy chase, chevy, chase. These terms suggest a common theme or subject matter across the documents.",Topic 61: 61_chase md_chevy chase md_chevy chase_chevy
62,62_netflix_experiencing_netflix experiencing_outage,33,0.02%,"netflix, experiencing, netflix experiencing, outage, netflix experiencing outage, experiencing outage, sensor, via detector, sensor via, detector",message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft multiple streamin...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft amazon prime video ...; message sent subject first alert urgent update alertdataminrcom montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj amazon prime video net...,"This topic appears to be about 62_netflix_experiencing_netflix experiencing_outage. The documents in this topic are grouped together because they frequently contain words and phrases like netflix, experiencing, netflix experiencing, outage, netflix experiencing outage. These terms suggest a common theme or subject matter across the documents.",Topic 62: 62_netflix_experiencing_netflix experiencing_outage
63,63_omar_representative omar_representative_rep,33,0.02%,"omar, representative omar, representative, rep, omar say, representative omar say, islamophobia, ilhan, hate, ilhan omar",message sent subject first alert urgent update alertdataminrcom carolynmontagnadcgov vodc governmentouexchange administrative group fydibohfspdltcnrecipientscncarolynmontagnaj u representative omar sa...; message sent subject first alert urgent update alertdataminrcom carolynmontagnadcgov vodc governmentouexchange administrative group fydibohfspdltcnrecipientscncarolynmontagnaj spokesperson u represent...; message sent subject first alert urgent update alertdataminrcom pm carolynmontagnadcgov vodc governmentouexchange administrative group fydibohfspdltcnrecipientscncarolynmontagnaj u representative omar...,"This topic appears to be about 63_omar_representative omar_representative_rep. The documents in this topic are grouped together because they frequently contain words and phrases like omar, representative omar, representative, rep, omar say. These terms suggest a common theme or subject matter across the documents.",Topic 63: 63_omar_representative omar_representative_rep
64,64_algerian_algeria_tunisia_tunisian,33,0.02%,"algerian, algeria, tunisia, tunisian, province algeria, local news, bejaia, algiers, algiers province algeria, algiers province",message sent subject first alert urgent alertdataminrcomj pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnbddcbfebcarolyn mon tunisian national guard sa...; message sent subject first alert urgent alertdataminrcomj montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj man arrested charge joining ...; message sent subject first alert urgent alertdataminrcomj pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnbddcbfebcarolyn mon arrest five individual sen...,"This topic appears to be about 64_algerian_algeria_tunisia_tunisian. The documents in this topic are grouped together because they frequently contain words and phrases like algerian, algeria, tunisia, tunisian, province algeria. These terms suggest a common theme or subject matter across the documents.",Topic 64: 64_algerian_algeria_tunisia_tunisian
65,65_uk_southmead_bristol_liverpool,33,0.02%,"uk, southmead, bristol, liverpool, southmead hospital, hospital, womens hospital, southmead hospital bristol, hospital bristol, hospital bristol uk",message sent subject first alert urgent alertdataminrcomj pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn mon two teenager arrested susp...; message sent subject first alert urgent alertdataminrcomj montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj fifteenyearold boy charged t...; message sent subject first alert urgent alertdataminrcomj pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn mon fifteenyearold pleads guil...,"This topic appears to be about 65_uk_southmead_bristol_liverpool. The documents in this topic are grouped together because they frequently contain words and phrases like uk, southmead, bristol, liverpool, southmead hospital. These terms suggest a common theme or subject matter across the documents.",Topic 65: 65_uk_southmead_bristol_liverpool
66,66_yellen_treasury secretary yellen_secretary yellen_russia,31,0.02%,"yellen, treasury secretary yellen, secretary yellen, russia, russian oil, treasury secretary, import, yellen say, treasury, sanction",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft u treasury sec...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u treasury secre...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u treasury secre...,"This topic appears to be about 66_yellen_treasury secretary yellen_secretary yellen_russia. The documents in this topic are grouped together because they frequently contain words and phrases like yellen, treasury secretary yellen, secretary yellen, russia, russian oil. These terms suggest a common theme or subject matter across the documents.",Topic 66: 66_yellen_treasury secretary yellen_secretary yellen_russia
67,67_israel_gaza_ashkelon_gaza strip,31,0.02%,"israel, gaza, ashkelon, gaza strip, rocket, strip, sderot, ashkelon israel, hebrew, translated hebrew",message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo ft iron dome air defense syste...; message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft iron dome activated respons...; message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft missile intercepted ashke...,"This topic appears to be about 67_israel_gaza_ashkelon_gaza strip. The documents in this topic are grouped together because they frequently contain words and phrases like israel, gaza, ashkelon, gaza strip, rocket. These terms suggest a common theme or subject matter across the documents.",Topic 67: 67_israel_gaza_ashkelon_gaza strip
68,68_hong_kong_hong kong_tong,31,0.02%,"hong, kong, hong kong, tong, national security law, security law, hong kong activist, kong activist, activist tong, high court",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u country express deep...; message sent subject first alert urgent alertdataminrcom pm ennis ralph mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbaedefaaadfccdralph ennis u country express deep con...; message sent subject first alert urgent alertdataminrcomj pm uredactedj limitt voexchangelabsouexchange administrative group u country express deep concern freedom press medium condition hong kong inv...,"This topic appears to be about 68_hong_kong_hong kong_tong. The documents in this topic are grouped together because they frequently contain words and phrases like hong, kong, hong kong, tong, national security law. These terms suggest a common theme or subject matter across the documents.",Topic 68: 68_hong_kong_hong kong_tong
69,69_representative jordan_jordan_gym_representative jordan say,31,0.02%,"representative jordan, jordan, gym, representative jordan say, jordan say, mention representative jordan, coming gym, representative, mention representative, individual mention representative",message sent subject first alert alert alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft individual mention u r...; message sent subject first alert alert alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft individual mention u r...; message sent subject first alert alert alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft individual mention u rep...,"This topic appears to be about 69_representative jordan_jordan_gym_representative jordan say. The documents in this topic are grouped together because they frequently contain words and phrases like representative jordan, jordan, gym, representative jordan say, jordan say. These terms suggest a common theme or subject matter across the documents.",Topic 69: 69_representative jordan_jordan_gym_representative jordan say
70,70_olympic_olympics_swimmer_zoom call,30,0.02%,"olympic, olympics, swimmer, zoom call, member olympic, olympic team, member olympic team, zoom, dj judd, judd",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u president biden host...; message sent subject first alert urgent alertdataminrcomj pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj u president biden host me...; message sent subject first alert urgent alertdataminrcom pm ennis ralph mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbaedefaaadfccdralph ennis u president biden host mem...,"This topic appears to be about 70_olympic_olympics_swimmer_zoom call. The documents in this topic are grouped together because they frequently contain words and phrases like olympic, olympics, swimmer, zoom call, member olympic. These terms suggest a common theme or subject matter across the documents.",Topic 70: 70_olympic_olympics_swimmer_zoom call
